index,event,disaster,class_label,clean_text,has_crisis_term
0,other_disaster,True,requests_or_needs,people in central of haiti need help. overcrowded cities,True
1,earthquake,True,injured_or_dead_people,very sad news 2 consecutive blasts in qisa khawani bazar in peshawar pakistan currently reported dead 33...,True
2,hurricane,True,donation_and_volunteering,heres how cfb teams are responding to hurricane irma,True
3,other_disaster,True,requests_or_needs,were hungry we need some food and water please,False
4,other_disaster,True,requests_or_needs,medicine and tent needed. we are counting on your assistance because people are asking us to find this stuff for them. a hot plate of food per day. thank you.,False
5,hurricane,True,donation_and_volunteering,thank you for your generosity. supporting families affected by hurricane harvey. ccsd93,True
6,other_disaster,True,requests_or_needs,please . .. we are in leogane we have not got water or tent or food please. .. we ok thanks in advace send me an answer,False
7,other_disaster,True,infrastructure_and_utilities_damage,although the wet season was supposed to have ended in march heavy rain fell near the south jakartatangerang border in bintaro and bumi serpong damai on thursday causing flooding as high as 40 centimeters on the toll road linking the two residential areas.,True
8,flood,True,donation_and_volunteering,dropin has evacuated to 4804 edmtrail ne need pillows and blankets yychelps yycfloods,True
9,other_disaster,True,injured_or_dead_people,hurricanematthew haiti south 90 destroyed and nearly 900 people killed. were providing safe water and supplies,True
10,earthquake,True,donation_and_volunteering,3 million children are in danger after nepalearthquake. join us in helping keep them safe. donate here,True
11,wildfire,True,infrastructure_and_utilities_damage,usa napa valley vineyards and wineries hit hard by california wildfires,True
12,hurricane,True,injured_or_dead_people,two people found dead in brooklyn tuesday morning crushed by giant trees sandy,True
13,other_disaster,True,requests_or_needs,food shortages this year have been blamed on last year floods which hit half of the countrys 27 districts and the export of 60000 tons of maize to kenya from strategic grain reserves.,True
14,hurricane,True,infrastructure_and_utilities_damage,pics from facebook page st. croix hurricane maria check in. extensive damage maria,True
15,earthquake,True,donation_and_volunteering,how does helping mexicoquake victims sound,True
16,other_disaster,True,requests_or_needs,please help me i have nothing to live since 12 january 2010 i am thhursty and hungry,True
17,earthquake,True,affected_individual,news from 10 dead in northern italys 5.8magnitude quake.,True
18,other_disaster,True,requests_or_needs,this is for and many many more who are working real hard on twitter for chennai,False
19,other_disaster,True,requests_or_needs,it has been more than 2 weeks since i been sleeping on the streets,False
20,other_disaster,True,requests_or_needs,the embassy said most of the assistance has been channeled through the us agency for international development usaid and its disaster assistance relief team.,False
21,other_disaster,True,requests_or_needs,we dont find any help in our generalcatelwhat can you do for us in thissituation,True
22,flood,True,affected_individual,rescueph please fellow speducator jaja vagilia and her family needs rescue 3 sampaguita st. ivc marikina ...,True
23,flood,True,injured_or_dead_people,deadly monsoon hits india nepal dozens of people have been kill...,True
24,earthquake,True,donation_and_volunteering,un ready to assist quakehit people balochistan pakistan,False
25,hurricane,True,infrastructure_and_utilities_damage,more than 10 600 homes affected by hurricane irma in sancti spiritus,True
26,hurricane,True,donation_and_volunteering,. relief hurricanemaria locals coming for safewater filling drums in the back of the truck,True
27,hurricane,True,donation_and_volunteering,prayers for all the people affected n hurting due to hurricaneharvey f,True
28,wildfire,True,infrastructure_and_utilities_damage,news startling footage shows california wildfire impact,True
29,other_disaster,True,requests_or_needs,the afghanistan interim authority aia planning figure is 20000 families and 15000 tents have been distributed or are en route.,False
30,hurricane,True,donation_and_volunteering,pouring for a cause join us at this fundraiser for irma victims. tix are only 35 available at,True
31,hurricane,True,donation_and_volunteering,publicprivate information portal developed to aid in hurricane harvey efforts,True
32,earthquake,True,injured_or_dead_people,september 30 1988. more than 250 innocent people were shot dead in 5 minutes hyderabadmassacre pakistan,True
33,other_disaster,True,requests_or_needs,at the time of our visit the frigid weather had prompted the distribution of firewood and quilts to each family.,False
34,other_disaster,True,affected_individual,apocalyptic storm floods sardinia 17 dead by nicole... costasmeralda follownicolewinfield markssquare,True
35,flood,True,infrastructure_and_utilities_damage,attn the upper deck of the centre st. bridge is closed. yycflood,True
36,other_disaster,True,requests_or_needs,i am a victim please help me any way you are able. i am in the northwest exactly. my family i cant call ..,True
37,flood,True,affected_individual,flooding from fastmoving storm in colorado kills two people and leads to the evacuation of hundreds of homes,True
38,cyclone,True,infrastructure_and_utilities_damage,news over 90 houses destroyed as monster cyclone pam struck vanuatu zee news,True
39,flood,True,injured_or_dead_people,check out this article from . 180 dead as floods wash away homes in nepal india,True
40,explosion,True,affected_individual,getting live updates from on this waco texas explosion crazy,False
41,other_disaster,True,requests_or_needs,the storm is moving northeastward at 20 km per hour and may leave zhejiang saturday morning or further weaken according to the zhejiang meteorological center.,False
42,hurricane,True,donation_and_volunteering,puerto rico governor more needed but feds have answered our calls,False
43,other_disaster,True,requests_or_needs,pakistan air force has delivered 163000 kg of relief cargo including tents blankets dry ration medicines in the disaster stricken muzaffarabad and adjacent areas during last six days.the relief activities was undertaken by various paf transport aircrafts that include y12 c130 casa and mi17 helicopters.,False
44,hurricane,True,donation_and_volunteering,ray of light cus organizations offer aid to harvey victims creditunions,True
45,shooting,True,affected_individual,reportlax shooter is a rightwing conspiracy kook. no surprise.,False
46,flood,True,infrastructure_and_utilities_damage,blog the latest on our services in flood affected qld bigwet,True
47,cyclone,True,donation_and_volunteering,cyclonehit vanuatu appeals for help,True
48,hurricane,True,infrastructure_and_utilities_damage,irmas price tag likely more than 100 million in georgia.,False
49,other_disaster,True,requests_or_needs,when the responsable will give us the information about the volcano,False
50,other_disaster,True,requests_or_needs,i am at la plain marin 22 imp. desmond 2. i am hungry and dying,False
51,hurricane,True,infrastructure_and_utilities_damage,just 1 pic of the damage done to my optometry school by hurricane maria in ....,True
52,hurricane,True,affected_individual,nearly 3.5 million customers impacted by hurricaneirma have had their power restored amazing work,True
53,typhoon,True,requests_or_needs,situation report per region and govt agency on rubyph,False
54,other_disaster,True,requests_or_needs,one person can make a difference and everyone should try.nso please donate something for haiti people at,False
55,other_disaster,True,requests_or_needs,will the state being help to survivors in gonaives because since 13 j message cut off,True
56,tornado,True,donation_and_volunteering,this week in college news tornado relief rotc and rebecca black college highered,True
57,typhoon,True,affected_individual,ndrrmc as of 10am325 dead 411 injured 379 missing 181k persons in evacuation centers. pabloph via,True
58,hurricane,True,donation_and_volunteering,collection centers for odile disasteraffected help loscabos,True
59,other_disaster,True,requests_or_needs,we living in the national school 28we waiting your help such as foodwatertent. thank youi wait your help.,True
60,train_crash,True,affected_individual,77 dead after train derails in spain a passenger train derailed as it hurtled around a curve in northwestern...,True
61,hurricane,True,infrastructure_and_utilities_damage,hurricane harvey fears of flash floods as 40 inches of rain... via telegraph,True
62,earthquake,True,infrastructure_and_utilities_damage,collapsed buildings in mexico city earthquake edificios colapsados terremoto,True
63,hurricane,True,infrastructure_and_utilities_damage,wild video hawk hitches ride in houston cab during harvey hurricaneharvey gtgt,True
64,flood,True,donation_and_volunteering,teambrianmundial pakistani troops expand rescue in floodhit areas pakistani troops ex... teambrianmundial,True
65,other_disaster,True,requests_or_needs,petit goave 1 needs food. where can we sleep. please were asking not take years because we cant survive,False
66,earthquake,True,donation_and_volunteering,help reach children in nepal. donate to support the nepalearthquake appeal,True
67,other_disaster,True,requests_or_needs,good evening please help us we are in croix des bouquests fort drago street we dont have. ..,True
68,train_crash,True,affected_individual,a train derailed in new york killing 4 and injuring dozens of people.,False
69,earthquake,True,donation_and_volunteering,canadian govt will match dollarfordollar for donations contributed to the nepalearthquake. help now,True
70,other_disaster,True,infrastructure_and_utilities_damage,we got hit by a hurricane a earthquake and now a snow storm in a week goddamn new jersey,True
71,earthquake,True,donation_and_volunteering,after deadly earthquake in pakistan the urgent needs are shelter blankets water and medical assistance. prepari,True
72,hurricane,True,affected_individual,as we come back to reality after the storm 1 of our journalist shares her experience w,False
